subID,onset,offset,refID,cue,type,prop-target,prop-other,cat-1,cat-2,cat-3,cat-4,cat-5,cat-6,cat-7,cat-8,cat-9,cat-10,cat-11,cat-12,cat-13,cat-14,cat-15,cat-16,cat-17,cat-18,cat-19,cat-20,cat-21,cat-22,cat-23,cat-24,cat-25
1237,58.305,58.731,21,2,3,0.14428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14428,0,0,0,0
1237,89.251,89.77,9,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1237,118.72,119.6,26,2,3,0,0.84835,0,0,0,0,0,0,0.24174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60661
1237,141.16,142.28,15,2,3,0,0.88085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46128,0,0.41956
1237,143.76,144.57,15,1,3,0.99365,0.0063496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99365,0,0,0,0,0,0,0,0.0063496,0,0
1237,191.93,192.54,24,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1237,247.59,248.9,11,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1237,268.35,269.06,11,2,3,0.69755,0.20895,0,0,0,0,0,0,0,0,0,0,0.69755,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20895
1237,277.65,278.46,21,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1237,279.19,280.26,21,2,3,0.55837,0.34856,0,0,0,0,0,0,0,0,0,0,0.012218,0,0,0,0,0,0,0,0,0,0.55837,0,0,0,0.33634
1237,280.7,281.58,21,2,3,0.38104,0.54352,0,0,0,0,0,0,0,0,0,0,0.54352,0,0,0,0,0,0,0,0,0,0.38104,0,0,0,0
1237,282.54,283.4,21,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1237,286.51,288.35,21,1,3,0.26292,0.73708,0,0,0,0,0,0,0,0,0,0,0.73708,0,0,0,0,0,0,0,0,0,0.26292,0,0,0,0
